dato,skole,elevdag,laererdag,sfodag,kommentar
2016-08-01,Auglend skole,Nei,Nei,Ja,
2016-08-02,Auglend skole,Nei,Nei,Ja,
2016-08-03,Auglend skole,Nei,Nei,Ja,
2016-08-04,Auglend skole,Nei,Nei,Ja,
2016-08-05,Auglend skole,Nei,Nei,Ja,
2016-08-06,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-07,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-08,Auglend skole,Nei,Nei,Ja,
2016-08-09,Auglend skole,Nei,Nei,Ja,
2016-08-10,Auglend skole,Nei,Nei,Ja,
2016-08-11,Auglend skole,Nei,Nei,Ja,
2016-08-12,Auglend skole,Nei,Nei,Ja,
2016-08-13,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-14,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-15,Auglend skole,Nei,Ja,Nei,Planleggingsdag
2016-08-16,Auglend skole,Nei,Ja,Ja,Planleggingsdag
2016-08-17,Auglend skole,Nei,Ja,Ja,Planleggingsdag
2016-08-18,Auglend skole,Ja,Ja,Ja,
2016-08-19,Auglend skole,Ja,Ja,Ja,
2016-08-20,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-21,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-22,Auglend skole,Ja,Ja,Ja,
2016-08-23,Auglend skole,Ja,Ja,Ja,
2016-08-24,Auglend skole,Ja,Ja,Ja,
2016-08-25,Auglend skole,Ja,Ja,Ja,
2016-08-26,Auglend skole,Ja,Ja,Ja,
2016-08-27,Auglend skole,Nei,Nei,Nei,Lørdag
2016-08-28,Auglend skole,Nei,Nei,Nei,Søndag
2016-08-29,Auglend skole,Ja,Ja,Ja,
2016-08-30,Auglend skole,Ja,Ja,Ja,
2016-08-31,Auglend skole,Ja,Ja,Ja,
2016-09-01,Auglend skole,Ja,Ja,Ja,
2016-09-02,Auglend skole,Ja,Ja,Ja,
2016-09-03,Auglend skole,Nei,Nei,Nei,Lørdag
2016-09-04,Auglend skole,Nei,Nei,Nei,Søndag
2016-09-05,Auglend skole,Ja,Ja,Ja,
2016-09-06,Auglend skole,Ja,Ja,Ja,
2016-09-07,Auglend skole,Ja,Ja,Ja,
2016-09-08,Auglend skole,Ja,Ja,Ja,
2016-09-09,Auglend skole,Ja,Ja,Ja,
2016-09-10,Auglend skole,Nei,Nei,Nei,Lørdag
2016-09-11,Auglend skole,Nei,Nei,Nei,Søndag
2016-09-12,Auglend skole,Ja,Ja,Ja,
2016-09-13,Auglend skole,Ja,Ja,Ja,
2016-09-14,Auglend skole,Ja,Ja,Ja,
2016-09-15,Auglend skole,Ja,Ja,Ja,
2016-09-16,Auglend skole,Ja,Ja,Ja,
2016-09-17,Auglend skole,Nei,Nei,Nei,Lørdag
2016-09-18,Auglend skole,Nei,Nei,Nei,Søndag
2016-09-19,Auglend skole,Ja,Ja,Ja,
2016-09-20,Auglend skole,Ja,Ja,Ja,
2016-09-21,Auglend skole,Ja,Ja,Ja,
2016-09-22,Auglend skole,Ja,Ja,Ja,
2016-09-23,Auglend skole,Ja,Ja,Ja,
2016-09-24,Auglend skole,Nei,Nei,Nei,Lørdag
2016-09-25,Auglend skole,Nei,Nei,Nei,Søndag
2016-09-26,Auglend skole,Ja,Ja,Ja,
2016-09-27,Auglend skole,Ja,Ja,Ja,
2016-09-28,Auglend skole,Ja,Ja,Ja,
2016-09-29,Auglend skole,Ja,Ja,Ja,
2016-09-30,Auglend skole,Ja,Ja,Ja,
2016-10-01,Auglend skole,Nei,Nei,Nei,Lørdag
2016-10-02,Auglend skole,Nei,Nei,Nei,Søndag
2016-10-03,Auglend skole,Ja,Ja,Ja,
2016-10-04,Auglend skole,Ja,Ja,Ja,
2016-10-05,Auglend skole,Ja,Ja,Ja,
2016-10-06,Auglend skole,Ja,Ja,Ja,
2016-10-07,Auglend skole,Ja,Ja,Ja,
2016-10-08,Auglend skole,Nei,Nei,Nei,Lørdag
2016-10-09,Auglend skole,Nei,Nei,Nei,Søndag
2016-10-10,Auglend skole,Nei,Nei,Ja,Høstferie
2016-10-11,Auglend skole,Nei,Nei,Ja,Høstferie
2016-10-12,Auglend skole,Nei,Nei,Ja,Høstferie
2016-10-13,Auglend skole,Nei,Nei,Ja,Høstferie
2016-10-14,Auglend skole,Nei,Nei,Ja,Høstferie
2016-10-15,Auglend skole,Nei,Nei,Nei,Lørdag
2016-10-16,Auglend skole,Nei,Nei,Nei,Søndag
2016-10-17,Auglend skole,Ja,Ja,Ja,
2016-10-18,Auglend skole,Ja,Ja,Ja,
2016-10-19,Auglend skole,Ja,Ja,Ja,
2016-10-20,Auglend skole,Ja,Ja,Ja,
2016-10-21,Auglend skole,Ja,Ja,Ja,
2016-10-22,Auglend skole,Nei,Nei,Nei,Lørdag
2016-10-23,Auglend skole,Nei,Nei,Nei,Søndag
2016-10-24,Auglend skole,Ja,Ja,Ja,
2016-10-25,Auglend skole,Ja,Ja,Ja,
2016-10-26,Auglend skole,Ja,Ja,Ja,
2016-10-27,Auglend skole,Ja,Ja,Ja,
2016-10-28,Auglend skole,Ja,Ja,Ja,
2016-10-29,Auglend skole,Nei,Nei,Nei,Lørdag
2016-10-30,Auglend skole,Nei,Nei,Nei,Søndag
2016-10-31,Auglend skole,Ja,Ja,Ja,
2016-11-01,Auglend skole,Ja,Ja,Ja,
2016-11-02,Auglend skole,Ja,Ja,Ja,
2016-11-03,Auglend skole,Ja,Ja,Ja,
2016-11-04,Auglend skole,Ja,Ja,Ja,
2016-11-05,Auglend skole,Nei,Nei,Nei,Lørdag
2016-11-06,Auglend skole,Nei,Nei,Nei,Søndag
2016-11-07,Auglend skole,Ja,Ja,Ja,
2016-11-08,Auglend skole,Ja,Ja,Ja,
2016-11-09,Auglend skole,Ja,Ja,Ja,
2016-11-10,Auglend skole,Ja,Ja,Ja,
2016-11-11,Auglend skole,Ja,Ja,Ja,
2016-11-12,Auglend skole,Nei,Nei,Nei,Lørdag
2016-11-13,Auglend skole,Nei,Nei,Nei,Søndag
2016-11-14,Auglend skole,Ja,Ja,Ja,
2016-11-15,Auglend skole,Ja,Ja,Ja,
2016-11-16,Auglend skole,Ja,Ja,Ja,
2016-11-17,Auglend skole,Ja,Ja,Ja,
2016-11-18,Auglend skole,Nei,Ja,Nei,Planleggingsdag
2016-11-19,Auglend skole,Nei,Nei,Nei,Lørdag
2016-11-20,Auglend skole,Nei,Nei,Nei,Søndag
2016-11-21,Auglend skole,Ja,Ja,Ja,
2016-11-22,Auglend skole,Ja,Ja,Ja,
2016-11-23,Auglend skole,Ja,Ja,Ja,
2016-11-24,Auglend skole,Ja,Ja,Ja,
2016-11-25,Auglend skole,Ja,Ja,Ja,
2016-11-26,Auglend skole,Nei,Nei,Nei,Lørdag
2016-11-27,Auglend skole,Nei,Nei,Nei,Søndag
2016-11-28,Auglend skole,Ja,Ja,Ja,
2016-11-29,Auglend skole,Ja,Ja,Ja,
2016-11-30,Auglend skole,Ja,Ja,Ja,
2016-12-01,Auglend skole,Ja,Ja,Ja,
2016-12-02,Auglend skole,Ja,Ja,Ja,
2016-12-03,Auglend skole,Nei,Nei,Nei,Lørdag
2016-12-04,Auglend skole,Nei,Nei,Nei,Søndag
2016-12-05,Auglend skole,Ja,Ja,Ja,
2016-12-06,Auglend skole,Ja,Ja,Ja,
2016-12-07,Auglend skole,Ja,Ja,Ja,
2016-12-08,Auglend skole,Ja,Ja,Ja,
2016-12-09,Auglend skole,Ja,Ja,Ja,
2016-12-10,Auglend skole,Nei,Nei,Nei,Lørdag
2016-12-11,Auglend skole,Nei,Nei,Nei,Søndag
2016-12-12,Auglend skole,Ja,Ja,Ja,
2016-12-13,Auglend skole,Ja,Ja,Ja,
2016-12-14,Auglend skole,Ja,Ja,Ja,
2016-12-15,Auglend skole,Ja,Ja,Ja,
2016-12-16,Auglend skole,Ja,Ja,Ja,
2016-12-17,Auglend skole,Nei,Nei,Nei,Lørdag
2016-12-18,Auglend skole,Nei,Nei,Nei,Søndag
2016-12-19,Auglend skole,Ja,Ja,Ja,
2016-12-20,Auglend skole,Ja,Ja,Ja,
2016-12-21,Auglend skole,Ja,Ja,Ja,
2016-12-22,Auglend skole,Nei,Nei,Ja,Juleferie
2016-12-23,Auglend skole,Nei,Nei,Ja,Juleferie
2016-12-24,Auglend skole,Nei,Nei,Nei,Lørdag
2016-12-25,Auglend skole,Nei,Nei,Nei,1. juledag
2016-12-26,Auglend skole,Nei,Nei,Nei,2. juledag
2016-12-27,Auglend skole,Nei,Nei,Ja,Juleferie
2016-12-28,Auglend skole,Nei,Nei,Ja,Juleferie
2016-12-29,Auglend skole,Nei,Nei,Ja,Juleferie
2016-12-30,Auglend skole,Nei,Nei,Ja,Juleferie
2016-12-31,Auglend skole,Nei,Nei,Nei,Lørdag
2017-01-01,Auglend skole,Nei,Nei,Nei,1. Nyttårsdag
2017-01-02,Auglend skole,Nei,Ja,Ja,Planleggingsdag
2017-01-03,Auglend skole,Ja,Ja,Ja,
2017-01-04,Auglend skole,Ja,Ja,Ja,
2017-01-05,Auglend skole,Ja,Ja,Ja,
2017-01-06,Auglend skole,Ja,Ja,Ja,
2017-01-07,Auglend skole,Nei,Nei,Nei,Lørdag
2017-01-08,Auglend skole,Nei,Nei,Nei,Søndag
2017-01-09,Auglend skole,Ja,Ja,Ja,
2017-01-10,Auglend skole,Ja,Ja,Ja,
2017-01-11,Auglend skole,Ja,Ja,Ja,
2017-01-12,Auglend skole,Ja,Ja,Ja,
2017-01-13,Auglend skole,Ja,Ja,Ja,
2017-01-14,Auglend skole,Nei,Nei,Nei,Lørdag
2017-01-15,Auglend skole,Nei,Nei,Nei,Søndag
2017-01-16,Auglend skole,Ja,Ja,Ja,
2017-01-17,Auglend skole,Ja,Ja,Ja,
2017-01-18,Auglend skole,Ja,Ja,Ja,
2017-01-19,Auglend skole,Ja,Ja,Ja,
2017-01-20,Auglend skole,Ja,Ja,Ja,
2017-01-21,Auglend skole,Nei,Nei,Nei,Lørdag
2017-01-22,Auglend skole,Nei,Nei,Nei,Søndag
2017-01-23,Auglend skole,Ja,Ja,Ja,
2017-01-24,Auglend skole,Ja,Ja,Ja,
2017-01-25,Auglend skole,Ja,Ja,Ja,
2017-01-26,Auglend skole,Ja,Ja,Ja,
2017-01-27,Auglend skole,Ja,Ja,Ja,
2017-01-28,Auglend skole,Nei,Nei,Nei,Lørdag
2017-01-29,Auglend skole,Nei,Nei,Nei,Søndag
2017-01-30,Auglend skole,Ja,Ja,Ja,
2017-01-31,Auglend skole,Ja,Ja,Ja,
2017-02-01,Auglend skole,Ja,Ja,Ja,
2017-02-02,Auglend skole,Ja,Ja,Ja,
2017-02-03,Auglend skole,Ja,Ja,Ja,
2017-02-04,Auglend skole,Nei,Nei,Nei,Lørdag
2017-02-05,Auglend skole,Nei,Nei,Nei,Søndag
2017-02-06,Auglend skole,Ja,Ja,Ja,
2017-02-07,Auglend skole,Ja,Ja,Ja,
2017-02-08,Auglend skole,Ja,Ja,Ja,
2017-02-09,Auglend skole,Ja,Ja,Ja,
2017-02-10,Auglend skole,Ja,Ja,Ja,
2017-02-11,Auglend skole,Nei,Nei,Nei,Lørdag
2017-02-12,Auglend skole,Nei,Nei,Nei,Søndag
2017-02-13,Auglend skole,Ja,Ja,Ja,
2017-02-14,Auglend skole,Ja,Ja,Ja,
2017-02-15,Auglend skole,Ja,Ja,Ja,
2017-02-16,Auglend skole,Ja,Ja,Ja,
2017-02-17,Auglend skole,Ja,Ja,Ja,
2017-02-18,Auglend skole,Nei,Nei,Nei,Lørdag
2017-02-19,Auglend skole,Nei,Nei,Nei,Søndag
2017-02-20,Auglend skole,Ja,Ja,Ja,
2017-02-21,Auglend skole,Ja,Ja,Ja,
2017-02-22,Auglend skole,Ja,Ja,Ja,
2017-02-23,Auglend skole,Ja,Ja,Ja,
2017-02-24,Auglend skole,Ja,Ja,Ja,
2017-02-25,Auglend skole,Nei,Nei,Nei,Lørdag
2017-02-26,Auglend skole,Nei,Nei,Nei,Søndag
2017-02-27,Auglend skole,Nei,Nei,Ja,Vinterferie
2017-02-28,Auglend skole,Nei,Nei,Ja,Vinterferie
2017-03-01,Auglend skole,Nei,Nei,Ja,Vinterferie
2017-03-02,Auglend skole,Nei,Nei,Ja,Vinterferie
2017-03-03,Auglend skole,Nei,Nei,Ja,Vinterferie
2017-03-04,Auglend skole,Nei,Nei,Nei,Lørdag
2017-03-05,Auglend skole,Nei,Nei,Nei,Søndag
2017-03-06,Auglend skole,Ja,Ja,Ja,
2017-03-07,Auglend skole,Ja,Ja,Ja,
2017-03-08,Auglend skole,Ja,Ja,Ja,
2017-03-09,Auglend skole,Ja,Ja,Ja,
2017-03-10,Auglend skole,Ja,Ja,Ja,
2017-03-11,Auglend skole,Nei,Nei,Nei,Lørdag
2017-03-12,Auglend skole,Nei,Nei,Nei,Søndag
2017-03-13,Auglend skole,Ja,Ja,Ja,
2017-03-14,Auglend skole,Ja,Ja,Ja,
2017-03-15,Auglend skole,Ja,Ja,Ja,
2017-03-16,Auglend skole,Ja,Ja,Ja,
2017-03-17,Auglend skole,Ja,Ja,Ja,
2017-03-18,Auglend skole,Nei,Nei,Nei,Lørdag
2017-03-19,Auglend skole,Nei,Nei,Nei,Søndag
2017-03-20,Auglend skole,Ja,Ja,Ja,
2017-03-21,Auglend skole,Ja,Ja,Ja,
2017-03-22,Auglend skole,Ja,Ja,Ja,
2017-03-23,Auglend skole,Ja,Ja,Ja,
2017-03-24,Auglend skole,Ja,Ja,Ja,
2017-03-25,Auglend skole,Nei,Nei,Nei,Lørdag
2017-03-26,Auglend skole,Nei,Nei,Nei,Søndag
2017-03-27,Auglend skole,Ja,Ja,Ja,
2017-03-28,Auglend skole,Ja,Ja,Ja,
2017-03-29,Auglend skole,Ja,Ja,Ja,
2017-03-30,Auglend skole,Ja,Ja,Ja,
2017-03-31,Auglend skole,Ja,Ja,Ja,
2017-04-01,Auglend skole,Nei,Nei,Nei,Lørdag
2017-04-02,Auglend skole,Nei,Nei,Nei,Søndag
2017-04-03,Auglend skole,Ja,Ja,Ja,
2017-04-04,Auglend skole,Ja,Ja,Ja,
2017-04-05,Auglend skole,Ja,Ja,Ja,
2017-04-06,Auglend skole,Ja,Ja,Ja,
2017-04-07,Auglend skole,Ja,Ja,Ja,
2017-04-08,Auglend skole,Nei,Nei,Nei,Lørdag
2017-04-09,Auglend skole,Nei,Nei,Nei,Palmesøndag
2017-04-10,Auglend skole,Nei,Nei,Ja,Påskeferie
2017-04-11,Auglend skole,Nei,Nei,Ja,Påskeferie
2017-04-12,Auglend skole,Nei,Nei,Ja,Påskeferie
2017-04-13,Auglend skole,Nei,Nei,Nei,Skjærtorsdag
2017-04-14,Auglend skole,Nei,Nei,Nei,Langfredag
2017-04-15,Auglend skole,Nei,Nei,Nei,Lørdag
2017-04-16,Auglend skole,Nei,Nei,Nei,1. påskedag
2017-04-17,Auglend skole,Nei,Nei,Nei,2. påskedag
2017-04-18,Auglend skole,Ja,Ja,Ja,
2017-04-19,Auglend skole,Ja,Ja,Ja,
2017-04-20,Auglend skole,Ja,Ja,Ja,
2017-04-21,Auglend skole,Ja,Ja,Ja,
2017-04-22,Auglend skole,Nei,Nei,Nei,Lørdag
2017-04-23,Auglend skole,Nei,Nei,Nei,Søndag
2017-04-24,Auglend skole,Ja,Ja,Ja,
2017-04-25,Auglend skole,Ja,Ja,Ja,
2017-04-26,Auglend skole,Ja,Ja,Ja,
2017-04-27,Auglend skole,Ja,Ja,Ja,
2017-04-28,Auglend skole,Ja,Ja,Ja,
2017-04-29,Auglend skole,Nei,Nei,Nei,Lørdag
2017-04-30,Auglend skole,Nei,Nei,Nei,Søndag
2017-05-01,Auglend skole,Nei,Nei,Nei,Off. Høytidsdag
2017-05-02,Auglend skole,Ja,Ja,Ja,
2017-05-03,Auglend skole,Ja,Ja,Ja,
2017-05-04,Auglend skole,Ja,Ja,Ja,
2017-05-05,Auglend skole,Ja,Ja,Ja,
2017-05-06,Auglend skole,Nei,Nei,Nei,Lørdag
2017-05-07,Auglend skole,Nei,Nei,Nei,Søndag
2017-05-08,Auglend skole,Ja,Ja,Ja,
2017-05-09,Auglend skole,Ja,Ja,Ja,
2017-05-10,Auglend skole,Ja,Ja,Ja,
2017-05-11,Auglend skole,Ja,Ja,Ja,
2017-05-12,Auglend skole,Ja,Ja,Ja,
2017-05-13,Auglend skole,Nei,Nei,Nei,Lørdag
2017-05-14,Auglend skole,Nei,Nei,Nei,Søndag
2017-05-15,Auglend skole,Ja,Ja,Ja,
2017-05-16,Auglend skole,Ja,Ja,Ja,
2017-05-17,Auglend skole,Nei,Nei,Nei,Grunnlovsdag
2017-05-18,Auglend skole,Ja,Ja,Ja,
2017-05-19,Auglend skole,Ja,Ja,Ja,
2017-05-20,Auglend skole,Nei,Nei,Nei,Lørdag
2017-05-21,Auglend skole,Nei,Nei,Nei,Søndag
2017-05-22,Auglend skole,Ja,Ja,Ja,
2017-05-23,Auglend skole,Ja,Ja,Ja,
2017-05-24,Auglend skole,Ja,Ja,Ja,
2017-05-25,Auglend skole,Nei,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Auglend skole,Nei,Nei,Ja,Fridag
2017-05-27,Auglend skole,Nei,Nei,Nei,Lørdag
2017-05-28,Auglend skole,Nei,Nei,Nei,Søndag
2017-05-29,Auglend skole,Ja,Ja,Ja,
2017-05-30,Auglend skole,Ja,Ja,Ja,
2017-05-31,Auglend skole,Ja,Ja,Ja,
2017-06-01,Auglend skole,Ja,Ja,Ja,
2017-06-02,Auglend skole,Ja,Ja,Ja,
2017-06-03,Auglend skole,Nei,Nei,Nei,Lørdag
2017-06-04,Auglend skole,Nei,Nei,Nei,1. pinsedag
2017-06-05,Auglend skole,Nei,Nei,Nei,2. pinsedag
2017-06-06,Auglend skole,Nei,Ja,Nei,Planleggingsdag
2017-06-07,Auglend skole,Ja,Ja,Ja,
2017-06-08,Auglend skole,Ja,Ja,Ja,
2017-06-09,Auglend skole,Ja,Ja,Ja,
2017-06-10,Auglend skole,Nei,Nei,Nei,Lørdag
2017-06-11,Auglend skole,Nei,Nei,Nei,Søndag
2017-06-12,Auglend skole,Ja,Ja,Ja,
2017-06-13,Auglend skole,Ja,Ja,Ja,
2017-06-14,Auglend skole,Ja,Ja,Ja,
2017-06-15,Auglend skole,Ja,Ja,Ja,
2017-06-16,Auglend skole,Ja,Ja,Ja,
2017-06-17,Auglend skole,Nei,Nei,Nei,Lørdag
2017-06-18,Auglend skole,Nei,Nei,Nei,Søndag
2017-06-19,Auglend skole,Ja,Ja,Ja,
2017-06-20,Auglend skole,Ja,Ja,Ja,
2017-06-21,Auglend skole,Ja,Ja,Ja,
2017-06-22,Auglend skole,Ja,Ja,Ja,
2017-06-23,Auglend skole,Nei,Nei,Ja,
2017-06-24,Auglend skole,Nei,Nei,Nei,Lørdag
2017-06-25,Auglend skole,Nei,Nei,Nei,Søndag
2017-06-26,Auglend skole,Nei,Nei,Ja,
2017-06-27,Auglend skole,Nei,Nei,Ja,
2017-06-28,Auglend skole,Nei,Nei,Ja,
2017-06-29,Auglend skole,Nei,Nei,Ja,
2017-06-30,Auglend skole,Nei,Nei,Ja,Siste dag - SFO
2017-07-01,Auglend skole,Nei,Nei,Nei,Lørdag
2017-07-02,Auglend skole,Nei,Nei,Nei,Søndag
2017-07-03,Auglend skole,Nei,Nei,Nei,
2017-07-04,Auglend skole,Nei,Nei,Nei,
2017-07-05,Auglend skole,Nei,Nei,Nei,
2017-07-06,Auglend skole,Nei,Nei,Nei,
2017-07-07,Auglend skole,Nei,Nei,Nei,
2017-07-08,Auglend skole,Nei,Nei,Nei,Lørdag
2017-07-09,Auglend skole,Nei,Nei,Nei,Søndag
2017-07-10,Auglend skole,Nei,Nei,Nei,
2017-07-11,Auglend skole,Nei,Nei,Nei,
2017-07-12,Auglend skole,Nei,Nei,Nei,
2017-07-13,Auglend skole,Nei,Nei,Nei,
2017-07-14,Auglend skole,Nei,Nei,Nei,
2017-07-15,Auglend skole,Nei,Nei,Nei,Lørdag
2017-07-16,Auglend skole,Nei,Nei,Nei,Søndag
2017-07-17,Auglend skole,Nei,Nei,Nei,
2017-07-18,Auglend skole,Nei,Nei,Nei,
2017-07-19,Auglend skole,Nei,Nei,Nei,
2017-07-20,Auglend skole,Nei,Nei,Nei,
2017-07-21,Auglend skole,Nei,Nei,Nei,
2017-07-22,Auglend skole,Nei,Nei,Nei,Lørdag
2017-07-23,Auglend skole,Nei,Nei,Nei,Søndag
2017-07-24,Auglend skole,Nei,Nei,Nei,
2017-07-25,Auglend skole,Nei,Nei,Nei,
2017-07-26,Auglend skole,Nei,Nei,Nei,
2017-07-27,Auglend skole,Nei,Nei,Nei,
2017-07-28,Auglend skole,Nei,Nei,Nei,
2017-07-29,Auglend skole,Nei,Nei,Nei,Lørdag
2017-07-30,Auglend skole,Nei,Nei,Nei,Søndag
2017-07-31,Auglend skole,Nei,Nei,Nei,
2016-08-01,Austbø skole,Nei,Nei,Nei,
2016-08-02,Austbø skole,Nei,Nei,Nei,
2016-08-03,Austbø skole,Nei,Nei,Nei,
2016-08-04,Austbø skole,Nei,Nei,Nei,
2016-08-05,Austbø skole,Nei,Nei,Nei,
2016-08-06,Austbø skole,Nei,Nei,Nei,Lørdag
2016-08-07,Austbø skole,Nei,Nei,Nei,Søndag
2016-08-08,Austbø skole,Nei,Nei,Nei,
2016-08-09,Austbø skole,Nei,Nei,Nei,
2016-08-10,Austbø skole,Nei,Nei,Nei,
2016-08-11,Austbø skole,Nei,Nei,Nei,
2016-08-12,Austbø skole,Nei,Nei,Nei,
2016-08-13,Austbø skole,Nei,Nei,Nei,Lørdag
2016-08-14,Austbø skole,Nei,Nei,Nei,Søndag
2016-08-15,Austbø skole,Nei,Ja,Nei,Planleggingsdag
2016-08-16,Austbø skole,Nei,Ja,Nei,Planleggingsdag
2016-08-17,Austbø skole,Nei,Ja,Nei,Planleggingsdag
2016-08-18,Austbø skole,Ja,Ja,Nei,Første skoledag
2016-08-19,Austbø skole,Ja,Ja,Nei,
2016-08-20,Austbø skole,Nei,Nei,Nei,Lørdag
2016-08-21,Austbø skole,Nei,Nei,Nei,Søndag
2016-08-22,Austbø skole,Ja,Ja,Nei,
2016-08-23,Austbø skole,Ja,Ja,Nei,
2016-08-24,Austbø skole,Ja,Ja,Nei,
2016-08-25,Austbø skole,Ja,Ja,Nei,
2016-08-26,Austbø skole,Ja,Ja,Nei,
2016-08-27,Austbø skole,Nei,Nei,Nei,Lørdag
2016-08-28,Austbø skole,Nei,Nei,Nei,Søndag
2016-08-29,Austbø skole,Ja,Ja,Nei,
2016-08-30,Austbø skole,Ja,Ja,Nei,
2016-08-31,Austbø skole,Ja,Ja,Nei,
2016-09-01,Austbø skole,Ja,Ja,Nei,
2016-09-02,Austbø skole,Ja,Ja,Nei,
2016-09-03,Austbø skole,Nei,Nei,Nei,Lørdag
2016-09-04,Austbø skole,Nei,Nei,Nei,Søndag
2016-09-05,Austbø skole,Ja,Ja,Nei,
2016-09-06,Austbø skole,Ja,Ja,Nei,
2016-09-07,Austbø skole,Ja,Ja,Nei,
2016-09-08,Austbø skole,Ja,Ja,Nei,
2016-09-09,Austbø skole,Ja,Ja,Nei,
2016-09-10,Austbø skole,Nei,Nei,Nei,Lørdag
2016-09-11,Austbø skole,Nei,Nei,Nei,Søndag
2016-09-12,Austbø skole,Ja,Ja,Nei,
2016-09-13,Austbø skole,Ja,Ja,Nei,
2016-09-14,Austbø skole,Ja,Ja,Nei,
2016-09-15,Austbø skole,Ja,Ja,Nei,
2016-09-16,Austbø skole,Ja,Ja,Nei,
2016-09-17,Austbø skole,Nei,Nei,Nei,Lørdag
2016-09-18,Austbø skole,Nei,Nei,Nei,Søndag
2016-09-19,Austbø skole,Ja,Ja,Nei,
2016-09-20,Austbø skole,Ja,Ja,Nei,
2016-09-21,Austbø skole,Ja,Ja,Nei,
2016-09-22,Austbø skole,Ja,Ja,Nei,
2016-09-23,Austbø skole,Ja,Ja,Nei,
2016-09-24,Austbø skole,Nei,Nei,Nei,Lørdag
2016-09-25,Austbø skole,Nei,Nei,Nei,Søndag
2016-09-26,Austbø skole,Ja,Ja,Nei,
2016-09-27,Austbø skole,Ja,Ja,Nei,
2016-09-28,Austbø skole,Ja,Ja,Nei,
2016-09-29,Austbø skole,Ja,Ja,Nei,
2016-09-30,Austbø skole,Ja,Ja,Nei,
2016-10-01,Austbø skole,Nei,Nei,Nei,Lørdag
2016-10-02,Austbø skole,Nei,Nei,Nei,Søndag
2016-10-03,Austbø skole,Ja,Ja,Nei,
2016-10-04,Austbø skole,Ja,Ja,Nei,
2016-10-05,Austbø skole,Ja,Ja,Nei,
2016-10-06,Austbø skole,Ja,Ja,Nei,
2016-10-07,Austbø skole,Ja,Ja,Nei,
2016-10-08,Austbø skole,Nei,Nei,Nei,Lørdag
2016-10-09,Austbø skole,Nei,Nei,Nei,Søndag
2016-10-10,Austbø skole,Nei,Nei,Nei,Høstferie
2016-10-11,Austbø skole,Nei,Nei,Nei,Høstferie
2016-10-12,Austbø skole,Nei,Nei,Nei,Høstferie
2016-10-13,Austbø skole,Nei,Nei,Nei,Høstferie
2016-10-14,Austbø skole,Nei,Nei,Nei,Høstferie
2016-10-15,Austbø skole,Nei,Nei,Nei,Lørdag
2016-10-16,Austbø skole,Nei,Nei,Nei,Søndag
2016-10-17,Austbø skole,Ja,Ja,Nei,
2016-10-18,Austbø skole,Ja,Ja,Nei,
2016-10-19,Austbø skole,Ja,Ja,Nei,
2016-10-20,Austbø skole,Ja,Ja,Nei,
2016-10-21,Austbø skole,Ja,Ja,Nei,
2016-10-22,Austbø skole,Nei,Nei,Nei,Lørdag
2016-10-23,Austbø skole,Nei,Nei,Nei,Søndag
2016-10-24,Austbø skole,Ja,Ja,Nei,
2016-10-25,Austbø skole,Ja,Ja,Nei,
2016-10-26,Austbø skole,Ja,Ja,Nei,
2016-10-27,Austbø skole,Ja,Ja,Nei,
2016-10-28,Austbø skole,Ja,Ja,Nei,
2016-10-29,Austbø skole,Nei,Nei,Nei,Lørdag
2016-10-30,Austbø skole,Nei,Nei,Nei,Søndag
2016-10-31,Austbø skole,Ja,Ja,Nei,
2016-11-01,Austbø skole,Ja,Ja,Nei,
2016-11-02,Austbø skole,Ja,Ja,Nei,
2016-11-03,Austbø skole,Ja,Ja,Nei,
2016-11-04,Austbø skole,Ja,Ja,Nei,
2016-11-05,Austbø skole,Nei,Nei,Nei,Lørdag
2016-11-06,Austbø skole,Nei,Nei,Nei,Søndag
2016-11-07,Austbø skole,Ja,Ja,Nei,
2016-11-08,Austbø skole,Ja,Ja,Nei,
2016-11-09,Austbø skole,Ja,Ja,Nei,
2016-11-10,Austbø skole,Ja,Ja,Nei,
2016-11-11,Austbø skole,Ja,Ja,Nei,
2016-11-12,Austbø skole,Nei,Nei,Nei,Lørdag
2016-11-13,Austbø skole,Nei,Nei,Nei,Søndag
2016-11-14,Austbø skole,Ja,Ja,Nei,
2016-11-15,Austbø skole,Ja,Ja,Nei,
2016-11-16,Austbø skole,Ja,Ja,Nei,
2016-11-17,Austbø skole,Ja,Ja,Nei,
2016-11-18,Austbø skole,Nei,Ja,Nei,Planleggingsdag
2016-11-19,Austbø skole,Nei,Nei,Nei,Lørdag
2016-11-20,Austbø skole,Nei,Nei,Nei,Søndag
2016-11-21,Austbø skole,Ja,Ja,Nei,
2016-11-22,Austbø skole,Ja,Ja,Nei,
2016-11-23,Austbø skole,Ja,Ja,Nei,
2016-11-24,Austbø skole,Ja,Ja,Nei,
2016-11-25,Austbø skole,Ja,Ja,Nei,
2016-11-26,Austbø skole,Nei,Nei,Nei,Lørdag
