Nord,øst,Latitude,Longitude,ID,OBJTYPE,KOMM,BYGGTYP_NBR,INFORMASJON,Skolenavn,ADRESSE,Hjemmeside,ELEVER,KAPASITET
6537797.73,312134.00,58.938915,5.734214,37,Bygning,1103,615,Privat,Steinerskolen i Stavanger,Skolevollen 19,http://www.stavanger.steinerskolen.no/,,Ukjent 
6540351.12,309716.20,58.960384,5.691208,38,Bygning,1103,615,Privat,Stavanger Kristne grunnskole,Adjunkt Hauglandsgata 52,http://www.stavangerkristnegrunnskole.no/,,Ukjent 
6538778.18,311643.10,58.946483,5.726794,39,Bygning,1103,613,Kommunal,Auglend skole,Hjalmar Johansens gate 32,http://www.minskole.no/auglend,ELEVER/TRINN 1.-68  2.-69  3.-86  4.-52  5.-52  6.-64  7.-57,22 klasserom 
6535224.33,311389.82,58.915223,5.724265,40,Bygning,1103,613,Kommunal,Jåtten skole,Ordfører Askelandsgate 11,http://www.minskole.no/jaatten,ELEVER/TRINN 1.-79  2.-100  3.-101  4.-95  5.-76  6.-85  7.-69,28 klasserom 
6544111.76,312468.58,58.995224,5.735939,41,Bygning,1103,614,Kommunal,Austbø skole,Austbøsvingene 50,http://www.minskole.no/austbo,ELEVER/TRINN 8.-138  9.-112  10.-134,15 klasserom 
6538212.95,309221.50,58.940468,5.684139,42,Bygning,1103,614,Kommunal,Gosen skole,Sophus Bugges gate 13,http://www.minskole.no/gosen,ELEVER/TRINN 8.-103  9.-123  10.-103 (Gosen ATO skole 8.-11  9.-10  10.-10),12 klasserom 
6535527.35,311292.00,58.917831,5.722232,43,Bygning,1103,614,Kommunal,Hinna skole,Ordfører Tveteraasgate 11,http://www.minskole.no/hinna,ELEVER/TRINN 8.-101  9.-95  10.-96,12/15 klasserom 
6540733.00,311572.00,58.964407,5.722864,44,Bygning,1103,614,Kommunal,Kannik skole,St. Svituns gate 40,http://www.minskole.no/kannik,ELEVER/TRINN 8.-172  9.-188  10.-182,19 klasserom 
6537706.15,312166.72,58.937474,5.735075,45,Bygning,1103,614,Kommunal,Kristianslyst skole,Skolevollen 17,http://www.minskole.no/kristianslyst,ELEVER/TRINN 8.-140  9.-111  10.-129,22 klasserom 
6541475.18,304933.00,58.968396,5.607635,46,Bygning,1103,614,Kommunal,Smiodden skole,Alkeveien 19,http://www.minskole.no/smiodden,ELEVER/TRINN 8. -81  9. - 82  10. -80,12 klasserom 
6540702.18,312585.82,58.964691,5.740410,47,Bygning,1103,614,Kommunal,Sankt Svithun skole,Vikedalsveien 11,http://www.minskole.no/svithun,ELEVER/TRINN 8. -82  9. -107  10. -109,12 klasserom 
6542468.18,310392.82,58.979680,5.701133,48,Bygning,1103,614,Kommunal,Tastaveden skole,Soltunveien 30,http://www.minskole.no/tastaveden,ELEVER/TRINN 8. -94  9. -91  10. -76,13 klasserom 
6539117.00,311560.65,58.950132,5.723977,49,Bygning,1103,614,Kommunal,Ullandhaug skole,Hjalmar Johansens gate 13,http://www.minskole.no/ullandhaug,/ TRINN 8.-94  9.-73  10.-109,14/16 klasserom 
6543041.00,312374.65,58.985646,5.734782,50,Bygning,1103,615,Kommunal,Buøy skole,Skipsbyggergata 19A,https://www.minskole.no/buoy,ELEVER/TRINN 1.-26  2.-36  3.-24  4.-21  5.-16  6.-20  7.-22,8 klasserom på barnetrinn og 3 på ungdomstrinn 
6533451.18,311237.18,58.899177,5.723171,51,Bygning,1103,615,Kommunal,Gautesete skole,Heddeveien 143,http://www.minskole.no/gautesete,ELEVER/TRINN 1.-29  2. -24  3.-29  4.-29  5.-26  6.-34  7.-29  8.-86  9.-101  10.-101,13 klasserom på barnetrinn og 9 på ungdomstrinn 
6544840.00,312759.82,59.001910,5.740156,52,Bygning,1103,615,Kommunal,Lunde skole,Lerkeskogen 1,http://www.minskole.no/lunde,,7 klasserom på barnetrinn og 6 på ungdomstrinn 
6543246.18,309920.82,58.986345,5.691965,53,Bygning,1103,614,Kommunal,Tastarustå skole,Gjerdeveien 32,http://www.minskole.no/tastarustaa,ELEVER/TRINN 8. -124  9. -96  10. -116,14 klasser 
6543681.75,309362.58,58.990000,5.682240,54,Bygning,1103,613,Kommunal,Teinå skole,Eldfiskbakken 11,http://www.minskole.no/teinaa,ELEVER/TRINN 1.-39  2.-48  3.-55  4.-27  5.-51  6.-59  7.-41,13 klasser 
6545040.18,313629.00,59.004233,5.755628,55,Bygning,1103,619,Kommunal,Lundsvågen Naturskole,Kisteneset 31,,,Ukjent 
6540928.31,313434.41,58.967258,5.755176,56,Bygning,1103,619,Kommunal,Johannes Læringssenter,Haugesundsgata 27,http://www.velkommentiljohannes.no/,ELEVER/TRINN 1.-1  2.34  3.-20  4.-13  5.-65  6.-17  7.-7  8.-85  9.-0  10.-29,Ukjent 
6541989.18,311589.41,58.975839,5.722325,57,Bygning,1103,619,Kommunal,Stavanger kulturskole,Sandvigå 5,http://www.stavangerkulturskole.no/,,Ukjent 
6539955.18,313791.18,58.958610,5.762014,58,Bygning,1103,619,Kommunal,Lenden skole og ressurssenter  Skoleteamet,Søre Ramsvigvei 55,http://www.minskole.no/lenden,,Ukjent 
6540369.74,312020.24,58.961425,5.730901,59,Bygning,1103,616,Privat,Uldals Videregående Skole,Rektor Steens plass 1,http://www.uldals.no/,,30
6540335.02,312021.47,58.961425,5.730901,60,Bygning,1103,616,Privat,Wang Toppidrett Stavanger AS,Rektor Steens plass 1,http://wang.no/,,175
6537840.78,312132.91,58.938684,5.734895,61,Bygning,1103,616,Privat,Steinerskolen i Stavanger,Skolevollen 19,http://www.stavanger.steinerskolen.no/,,40
6539308.03,307550.73,58.949704,5.654760,62,Bygning,1103,615,Privat,International School of Stavanger,Treskeveien 3,http://www.isstavanger.no/,,700
6541564.56,311233.47,58.972134,5.716483,63,Bygning,1103,615,Privat,Lycée français de Stavanger,Kampensgate 33,http://www.lyceefrancaisstavanger.fr/,, 
6537763.45,309954.81,58.937382,5.697425,64,Bygning,1103,621,Statlig,Universitetet i Stavanger,Kjell Arholmsgate 41,https://www.uis.no/,, 
6541602.28,311000.38,58.971938,5.712422,65,Bygning,1103,621,Privat,Misjonshøgskolen,Misjonsmarka 12,http://www.vid.no/,, 
6541149.18,313258.00,58.969095,5.751701,66,Bygning,1103,621,Privat,BI Stavanger,Hesbygata 5,https://www.bi.no/bli-student/bi-stavanger/,, 
6539421.68,310353.41,58.952443,5.703459,67,Bygning,1103,619,Folkehøgskole,Solborg Folkehøgskole,Tjensvollveien 44,https://solborg.fhs.no/,, 
6540802.60,311911.49,58.965066,5.728663,68,Bygning,1103,619,Fagskole,Noroff Stavanger,Engelsminnegata 16A,https://www.noroff.no/om/studiesteder/stavanger,, 
6540851.53,312342.82,58.966024,5.736067,69,Bygning,1103,619,Fagskole,Kunstskolen i Rogaland,Birkelandsgate 2,http://kir.no/,, 
6541021.26,312406.19,58.967343,5.737113,70,Bygning,1103,619,Fagskole,Bergeland videregående skole,Vaisenhusgata 50,http://www.bergeland.vgs.no/,, 
6542800.43,311187.42,58.982258,5.714685,71,Bygning,1103,619,Fagskole,Stavanger offshore tekniske skole,Kalhammarveien 54,http://sots.no/,Max 450, 
6541217.48,312975.52,58.969773,5.746894,72,Bygning,1103,619,Kommunal,Lenden skole og Ressurssenter,Bratteberggata 18,http://www.minskole.no/lenden,, 
6538344.90,311805.58,58.943185,5.728740,74,Bygning,1103,619,Fagskole,Folkeuniversitetet Stavanger,Auglendsmyrå 2,https://www.folkeuniversitetet.no/,, 
6538898.25,312244.66,58.948413,5.736161,76,Bygning,1103,619,Fylkeskommunal skole for spesielle behov,Møllehagen skolesenter,Torgveien 29,http://www.mollehagen.no/,,Ukjent 
